Title,Product URL,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Amano Shrimp,https://eastoceansg.com/products/amano-shrimp-5-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/amano_ac8070be-dec5-4157-b15a-8ad054fac8db.jpg?v=1647687180,"Amano Shrimp, Yamato Shrimp",Easy,5 cm,6.0 - 7.0,15.5°C - 27°C,2 - 3 years,Peaceful,Bottom,The females tend to be bigger than males
Otocinclus Catfish,https://eastoceansg.com/products/otocinclus-catfish-5-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/otoc_e0ee11a8-8ef4-46f6-af2e-145353cd8495.jpg?v=1647684427,"Otto, Oto Cat, Dwarf Sucking Catfish, Midget Sucker Fish",Easy,5 cm,6 - 7.5,21°C - 26°C,3 - 5 years,Very peaceful,Mostly middle to top,The male is usually smaller than a female of the same age
Fire Red Shrimp,https://eastoceansg.com/products/fire-red-shrimp-10-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/firered_1395422b-3ea2-40a5-8e80-4f2a83d41f99.jpg?v=1647687306,"Fire Shrimp, Red Fire Shrimp, Blood Red Shrimp",Easy,3 cm,8.1 - 8.4,25°C - 28°C,2 years and longer,May fight with other red fire shrimp and possibly other cleaner shrimps,Stays near its cave or ledge in thelive rock.,Hermaphrodites - has both male and female reproductive organs.
Galaxy Rasbora,https://eastoceansg.com/products/galaxy-rasbora-5-for-15,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/galaxycopy_af1f1fbb-613c-46a7-89b2-99219d3a7654.jpg?v=1647684788,"Galaxy Rasbora,Celestial Pearl Danio",Easy,2.5 cm,6.5 - 7.5,23°C - 26°C,years,"Peaceful, schooling",Bottom,The difference between males and females is not very noticeable also is often the male is slimmer and has brighter colors and the female is rather more roundabout. Is an
Colored Zebra Danio,https://eastoceansg.com/products/zebra-danio-test,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/8ec9a119b92996e26ba499e7e5cdb349.jpg?v=1718171328,"Red Danio, Green Danio, Orange Danio, Blue Danio, Purple Danio",Easy,5 cm,6.5 - 8,18°C - 24°C,"3 - 4 years, sometimes up to 5 years",Mostly peaceful when kept in groups of 6 or more with occasional fighting and chasing among the group,Middle to Top levels of the aquarium,"Hard to distinguish male from female when juveniles but as adults, females should develop a more pronounced stomach when carrying eggs."
Horn Nerite Snail,https://eastoceansg.com/products/horn-nerite-snail-6-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/HornNerite_3a8f0f01-1cf2-46a7-b398-dd3ce15171b8.jpg?v=1647687426,"Horned Nerite Snail, Crown Nerite",Easy - Medium,1.5 - 2 cm,7.0 - 8.0,22°C - 26°C,5 years,Peaceful,,"Unlike Mystery Snails, Nerite Snails do not change gender over time. They are just one gender, male or female, from the time they hatch. It is often difficult, if not impossible to tell the difference between male and females until females lay eggs. Nerite Snails behave, move, and look the same regardless of gender."
Neon Tetra,https://eastoceansg.com/products/neon-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/neoncopy_5a65947b-6b68-45b5-9123-ef5ff23aebc6.jpg?v=1647685499,Neon Fish,Moderate,4 cm,5 - 7.5,21°C - 26°C,5 - 8 years,Peaceful tropical fish best kept in school of 6 or more,Mostly middle to bottom,Male is usually smaller than a female of the same age
Zebra Nerite Snail,https://eastoceansg.com/products/zebra-nerite-snail-6-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/zebra_112a545c-04c6-4360-a52c-4dabb23eb096.jpg?v=1647687439,Zebra Nerite Snail,Easy - Medium,2.5 - 3.8 cm,6.5 - 8,18°C - 29°C,1 - 2 years,Peaceful,,"Unlike Mystery Snails, Nerite Snails do not change gender over time.They are just one gender, male or female, from the time they hatch. It is often difficult, if not impossible to tell the difference between male and females until females lay eggs. Nerite Snails behave, move, and look the same regardless of gende"
Cardinal Tetra,https://eastoceansg.com/products/cardinal-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/cardinalcopy_6d8bf06e-2c08-4c5f-bdbb-dd18f72595d7.jpg?v=1647686466,Cardinal Tetra,Easy,5 cm,5.5 - 7,23°C - 27°C,2 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Mostly middle to top,The male is usually smaller than a female of the same age.
Pygmy Corydoras,https://eastoceansg.com/products/pygmy-corydoras-5-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/pygmycopy_59fd610d-39b3-4c44-86d3-46d55e191fa1.jpg?v=1647686100,Pygmy Cory Catfish,Easy,3.5 cm,6.2 - 7.2,22°C - 25°C,years,Peaceful; requires a school of 6 or more to thrive.,Bottom dwellers,"Females are much larger than males, up to nearly a half inch longer. In addition, their body size in overall proportions is much larger. An adult female is probably at least three times the weight of an adult male."
