Title,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Amano Shrimp,https://upload.wikimedia.org/wikipedia/commons/1/17/Caridina_multidentata%28Hamamatsu%2CShizuoka%2CJapan%2C2007%29.jpg,"Amano Shrimp, Yamato Shrimp",Easy,5 cm,6.0 - 7.0,15.5°C - 27°C,2 - 3 years,Peaceful,Bottom,The females tend to be bigger than males
Otocinclus Catfish,https://upload.wikimedia.org/wikipedia/commons/7/7f/Otocinclus_macrospilus_2.jpg,"Otto, Oto Cat, Dwarf Sucking Catfish, Midget Sucker Fish",Easy,5 cm,6 - 7.5,21°C - 26°C,3 - 5 years,Very peaceful,Mostly middle to top,The male is usually smaller than a female of the same age
Fire Red Shrimp,https://upload.wikimedia.org/wikipedia/commons/9/93/Neocaridina_heteropoda_female.png,"Fire Shrimp, Red Fire Shrimp, Blood Red Shrimp",Easy,3 cm,8.1 - 8.4,25°C - 28°C,2 years and longer,May fight with other red fire shrimp and possibly other cleaner shrimps,Stays near its cave or ledge in thelive rock.,Hermaphrodites - has both male and female reproductive organs.
Galaxy Rasbora,https://upload.wikimedia.org/wikipedia/commons/b/b8/D%C3%A1nio_perlov%C3%A9.jpg,"Galaxy Rasbora,Celestial Pearl Danio",Easy,2.5 cm,6.5 - 7.5,23°C - 26°C,years,"Peaceful, schooling",Bottom,The difference between males and females is not very noticeable also is often the male is slimmer and has brighter colors and the female is rather more roundabout. Is an
Colored Zebra Danio,https://upload.wikimedia.org/wikipedia/commons/b/b4/2023-08-20._%D0%90%D0%BD%D0%B0%D0%BF%D0%B0_DSC_5619.jpg,"Red Danio, Green Danio, Orange Danio, Blue Danio, Purple Danio",Easy,5 cm,6.5 - 8,18°C - 24°C,"3 - 4 years, sometimes up to 5 years",Mostly peaceful when kept in groups of 6 or more with occasional fighting and chasing among the group,Middle to Top levels of the aquarium,"Hard to distinguish male from female when juveniles but as adults, females should develop a more pronounced stomach when carrying eggs."
Horn Nerite Snail,https://upload.wikimedia.org/wikipedia/commons/8/81/Clithon_corona%2C_Horned_nerite_snail_from_the_Philippines_04.jpg,"Horned Nerite Snail, Crown Nerite",Easy - Medium,1.5 - 2 cm,7.0 - 8.0,22°C - 26°C,5 years,Peaceful,,"Unlike Mystery Snails, Nerite Snails do not change gender over time. They are just one gender, male or female, from the time they hatch. It is often difficult, if not impossible to tell the difference between male and females until females lay eggs. Nerite Snails behave, move, and look the same regardless of gender."
Neon Tetra,https://upload.wikimedia.org/wikipedia/commons/7/7a/Paracheirodon_innesi_%28aka%29.jpg,Neon Fish,Moderate,4 cm,5 - 7.5,21°C - 26°C,5 - 8 years,Peaceful tropical fish best kept in school of 6 or more,Mostly middle to bottom,Male is usually smaller than a female of the same age
Zebra Nerite Snail,https://upload.wikimedia.org/wikipedia/commons/d/df/Zebra_Nerite_Snail_1.jpg,Zebra Nerite Snail,Easy - Medium,2.5 - 3.8 cm,6.5 - 8,18°C - 29°C,1 - 2 years,Peaceful,,"Unlike Mystery Snails, Nerite Snails do not change gender over time.They are just one gender, male or female, from the time they hatch. It is often difficult, if not impossible to tell the difference between male and females until females lay eggs. Nerite Snails behave, move, and look the same regardless of gende"
Cardinal Tetra,https://upload.wikimedia.org/wikipedia/commons/2/2a/Paracheirodon_axelrodi.png,Cardinal Tetra,Easy,5 cm,5.5 - 7,23°C - 27°C,2 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Mostly middle to top,The male is usually smaller than a female of the same age.
Pygmy Corydoras,https://upload.wikimedia.org/wikipedia/commons/1/1b/Corydoras_pygmaeus_carnat_joel.jpg,Pygmy Cory Catfish,Easy,3.5 cm,6.2 - 7.2,22°C - 25°C,years,Peaceful; requires a school of 6 or more to thrive.,Bottom dwellers,"Females are much larger than males, up to nearly a half inch longer. In addition, their body size in overall proportions is much larger. An adult female is probably at least three times the weight of an adult male."
Rummy-nose Tetra,https://upload.wikimedia.org/wikipedia/commons/6/6a/Petitellarhodostom.jpg,"Brilliant Rummy Nose Tetra, Firehead Tetra, Red Nose Tetra",Easy - Moderate,5 cm,5.5 - 7,22°C - 27°C,3 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Middle to bottom,"Can be hard to determine, female may be more full bodied"
