date,station,daily_rainfall_total,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
22/1/2009,Admiralty,0,na,31.5,23.3,11.1,31.7
23/1/2009,Admiralty,0,na,31.9,23.8,11.4,36
24/1/2009,Admiralty,0,26.8,31.4,24.4,11.7,38.2
25/1/2009,Admiralty,0.8,25.9,27.8,24.4,12.7,38.2
26/1/2009,Admiralty,0,25.9,29.6,23.7,12.4,42.5
27/1/2009,Admiralty,0,na,30.2,23.7,10.4,38.9
28/1/2009,Admiralty,0,26.6,31.9,23.7,10.3,32.4
29/1/2009,Admiralty,0,26.3,30,23.9,11.3,33.5
30/1/2009,Admiralty,0,26.5,30.9,24.2,9.6,31.3
31/1/2009,Admiralty,0,26.4,29.9,24.8,11.4,41.8
1/2/2009,Admiralty,0,26.2,29.1,24.7,13.3,41.4
2/2/2009,Admiralty,0,26.7,31,23.8,9.9,40.7
3/2/2009,Admiralty,0,26.2,30.4,23.5,10.7,31.7
4/2/2009,Admiralty,2.8,26.1,30.4,23.9,8.8,41.4
5/2/2009,Admiralty,0,26.2,30,23.9,11,33.5
6/2/2009,Admiralty,0,26.3,30.4,23.7,11.6,35.3
7/2/2009,Admiralty,0,26,30.4,23.6,11.1,35.3
8/2/2009,Admiralty,0,26.8,31.9,23.8,11.3,32
9/2/2009,Admiralty,0,26.8,31.8,23.7,13.4,38.2
10/2/2009,Admiralty,0,27.1,32,24,10.8,28.1
11/2/2009,Admiralty,21.6,26.4,32,24.4,8.6,30.2
12/2/2009,Admiralty,0.2,27.1,32,24.7,6.5,31
13/2/2009,Admiralty,0,28,33,25.4,9,29.2
14/2/2009,Admiralty,0,27.8,31.9,24.9,8.1,32.4
15/2/2009,Admiralty,0,28.6,32.6,25.5,8.5,40.3
16/2/2009,Admiralty,22,27.4,33.4,26,8.3,38.2
17/2/2009,Admiralty,0,27.8,32.1,25.1,12,38.2
18/2/2009,Admiralty,0,27.4,32.4,24.6,12.2,40
19/2/2009,Admiralty,0,27.3,32.1,24.4,12.9,39.6
20/2/2009,Admiralty,0,27.4,32.1,24.5,11.5,36.7
21/2/2009,Admiralty,0.4,26.9,31.6,25.2,8.6,34.9
22/2/2009,Admiralty,14.6,26.1,31.7,23.1,8.5,41.4
23/2/2009,Admiralty,28.8,25.9,30.9,23.4,6.9,47.5
24/2/2009,Admiralty,7.8,25,27.8,23.4,6.9,29.9
25/2/2009,Admiralty,39.4,26.3,32.6,23,6.3,42.8
26/2/2009,Admiralty,2,26,30.6,24.2,6.6,27.4
27/2/2009,Admiralty,0,26.9,31.1,24.7,7.6,26.3
28/2/2009,Admiralty,8.4,26.8,33.1,24.2,6.9,40
1/3/2009,Admiralty,9.2,26.6,32.1,24.1,7.5,38.5
2/3/2009,Admiralty,41.2,27,32.9,23.9,7.4,30.2
3/3/2009,Admiralty,2.6,25.2,27.3,22.2,7.8,47.5
4/3/2009,Admiralty,10.2,27.2,34.1,24,6.9,36.4
5/3/2009,Admiralty,21.6,27.1,31.9,23.5,8,44.6
6/3/2009,Admiralty,0,27.7,32.8,23.5,7.4,34.2
7/3/2009,Admiralty,1.8,27.2,32.2,25.6,5.9,36.7
8/3/2009,Admiralty,0,27.9,33.6,24.6,7.9,31
9/3/2009,Admiralty,142,24.8,28.4,22.9,9.6,35.3
10/3/2009,Admiralty,0,27,32.2,22.7,6.5,32
11/3/2009,Admiralty,3.8,26.6,31.2,25,6.2,37.4
12/3/2009,Admiralty,1.4,27.5,34,24.4,7.2,31.7
13/3/2009,Admiralty,0.8,26.3,30.5,25.1,7.5,40.7
14/3/2009,Admiralty,20.4,26.1,33.6,23.9,7.4,40
15/3/2009,Admiralty,2.8,25.8,31.6,23.7,6.6,31.3
16/3/2009,Admiralty,5.2,25.5,28.6,24.2,5.2,25.9
17/3/2009,Admiralty,1.6,27.3,33.2,24,6.5,26.3
18/3/2009,Admiralty,6,28.1,33.5,23.3,9.4,51.5
19/3/2009,Admiralty,0.2,na,33.1,23.2,7.7,44.6
20/3/2009,Admiralty,na,na,na,na,6.9,29.2
21/3/2009,Admiralty,12.8,26.5,32.6,23.6,6.6,38.2
22/3/2009,Admiralty,0,26.2,30.4,23.1,6.3,41.4
23/3/2009,Admiralty,0,28,33.4,24.5,7.7,28.1
24/3/2009,Admiralty,7,26.3,29.1,23.2,7.3,55.8
25/3/2009,Admiralty,20.6,27.2,34.5,24.6,5.7,36.4
26/3/2009,Admiralty,6.8,27.6,33.4,24.9,6.1,32.8
27/3/2009,Admiralty,0.2,28.4,33.5,25.4,5.7,24.8
28/3/2009,Admiralty,0,27.7,31.5,25,7.6,31.3
29/3/2009,Admiralty,29.6,26.9,33.9,22.7,7.3,36.7
30/3/2009,Admiralty,0.2,27.1,31.6,24.7,8.6,28.8
31/3/2009,Admiralty,0,27.7,32.1,25.1,6.1,26.6
1/4/2009,Admiralty,0,28.1,32.6,25.1,8.3,32.4
2/4/2009,Admiralty,0,28.6,33.1,25.8,8.3,33.8
3/4/2009,Admiralty,0,28.7,33.2,25.8,10.1,31.3
4/4/2009,Admiralty,0.6,28.6,32.1,26.1,8.8,32
5/4/2009,Admiralty,15.2,26.4,30.8,24.7,5.7,38.5
6/4/2009,Admiralty,1.2,26.8,31.3,25,5.4,34.6
7/4/2009,Admiralty,0,27.3,30.9,24.9,4.5,19.4
8/4/2009,Admiralty,0.2,28.6,32,25.1,9.4,34.6
9/4/2009,Admiralty,0.2,27.6,30.9,26.1,8,32
10/4/2009,Admiralty,33.4,26.7,32.2,23.9,6.4,37.1
11/4/2009,Admiralty,16,26.7,34.1,24.3,5.4,33.5
12/4/2009,Admiralty,8,26.2,28.3,23.9,6,25.2
13/4/2009,Admiralty,0,27,32.4,23.7,5.6,37.8
14/4/2009,Admiralty,0,28.9,34.4,25.3,6,27.4
15/4/2009,Admiralty,21.2,27.5,29.2,24.1,8.2,39.2
16/4/2009,Admiralty,0,27.7,29.8,25.8,5.5,25.9
17/4/2009,Admiralty,0,29.5,34.6,25.8,6.1,24.1
18/4/2009,Admiralty,0,29.9,35.1,26.4,6.8,27
19/4/2009,Admiralty,0,29.1,34.2,25.8,6.5,27.4
20/4/2009,Admiralty,10.8,28.1,30.5,25.5,9.3,36
21/4/2009,Admiralty,0,28.5,32.2,24.5,10.3,41.4
22/4/2009,Admiralty,6.6,29.5,32.6,24.3,12.1,77.8
23/4/2009,Admiralty,0,29,33.2,23.9,11.2,43.6
24/4/2009,Admiralty,0,29.5,32.6,26.3,10.4,38.2
25/4/2009,Admiralty,0,30.1,33.2,27.7,6.3,32
26/4/2009,Admiralty,5.8,27.6,33,23.8,6.6,52.9
27/4/2009,Admiralty,0,29.4,34.7,25.2,4.9,23.4
28/4/2009,Admiralty,16.8,26.7,30.3,24.8,6.1,40.3
29/4/2009,Admiralty,1,28.3,33.4,24.7,5.3,41
30/4/2009,Admiralty,11.8,27,29,23.7,7.4,32.8
1/5/2009,Admiralty,0,28.7,33.5,25.8,7.4,28.4
2/5/2009,Admiralty,15.8,28.3,31.2,26.1,9.3,32.8
3/5/2009,Admiralty,3.6,28.1,31.2,23,12.1,62.6
4/5/2009,Admiralty,2.2,27.6,29.9,25.1,10,37.8
5/5/2009,Admiralty,16.8,29,31.8,26.2,8.1,34.2
6/5/2009,Admiralty,1.2,28,31,21.8,9.7,59.8
7/5/2009,Admiralty,0,29.2,32.7,25,9.3,37.1
8/5/2009,Admiralty,5.6,29.1,32.5,24.8,6.1,33.8
9/5/2009,Admiralty,0.2,28.2,31.5,24.2,8.7,47.5
10/5/2009,Admiralty,2.8,28.8,32.8,26,6,29.5
11/5/2009,Admiralty,0,27.1,32.5,24.9,6.3,27.4
12/5/2009,Admiralty,0,28.2,31.1,25,6.8,25.9
13/5/2009,Admiralty,1.2,29,32.9,26.2,9.6,32
14/5/2009,Admiralty,0.2,28.5,32.3,24.5,7.7,36
